scraped_at,region,property_type,transaction_type,title,price,price_display,currency,bedrooms,bathrooms,carpark,size_sqft,area,state,full_address,furnishing,seller_name,seller_type,listing_url
2026-05-29T16:41:18.019733+00:00,johor,apartment,For Sale,Full Loan Bistari Impian Apartment High Floor Basic Renovated G&G,365000.0,"RM 365,000",MYR,3,2,,1076,Johor Bahru,Johor,"Jalan Serantau, Off Jalan Dato Jaafar, 80350 Johor Bahru, Johor",,,,https://www.mudah.my/full-loan-bistari-impian-apartment-high-floor-basic-renovated-g-g-114880517.htm
2026-05-29T16:40:42.969275+00:00,johor,apartment,For Sale,Centra Residences Nasa City Renovated and full furnish Apartment,600000.0,"RM 600,000",MYR,4,4,,1690,Johor Bahru,Johor,"Jalan Palma Perak 1, Nasa City, 81100 Johor Bahru, Johor",,,,https://www.mudah.my/centra-residences-nasa-city-renovated-and-full-furnish-apartment-113588109.htm
2026-05-29T16:40:02.822824+00:00,johor,apartment,For Sale,Full Loan Apartment Denai Nusantara Gelang Patah Tuas Corner Unit,330000.0,"RM 330,000",MYR,3,2,,1000,Gelang Patah,Johor,,,,,https://www.mudah.my/full-loan-apartment-denai-nusantara-gelang-patah-tuas-corner-unit-114880704.htm
2026-05-29T16:39:21.306001+00:00,johor,apartment,For Sale,Sale Tmn Rinting Apartment Flat Masai 3room low cost flat Ketapang 185,185000.0,"RM 185,000",MYR,3,2,,600,Masai,Johor,"Jalan Ketapang 10, Taman Rinting, 81750 Masai, Johor",,,,https://www.mudah.my/sale-tmn-rinting-apartment-flat-masai-3room-low-cost-flat-ketapang-185-114880693.htm
2026-05-29T16:39:21.113922+00:00,johor,apartment,For Sale,"Gelang Patah, Nusa Height, 3 Bedrooms Apartment",450000.0,"RM 450,000",MYR,3,2,,1042,Iskandar Puteri,Johor,"Jalan Gelang Patah, Taman Nusa Puncak, 81550 Iskandar Puteri, Johor",,,,https://www.mudah.my/gelang-patah-nusa-height-3-bedrooms-apartment-114880734.htm
2026-05-29T16:37:29.398389+00:00,johor,apartment,For Sale,"Sky View Apartment @ Bukit Indah, Near Bus Stop, Renovated",349000.0,"RM 349,000",MYR,1,1,,538,Iskandar Puteri,Johor,"Jalan Indah 25/2, Taman Bukit Indah 2 , 81200 Iskandar Puteri, Johor",,,,https://www.mudah.my/sky-view-apartment-bukit-indah-near-bus-stop-renovated-114881572.htm
2026-05-29T16:37:28.554377+00:00,johor,apartment,For Sale,"Apartment D Inspire @ Nusa Bestari, Bukit Indah",388000.0,"RM 388,000",MYR,2,2,,895,Johor Bahru,Johor,"Jalan Bestari, 15/2, Taman Nusa Bestari, 81300 Johor Bahru, Johor",,,,https://www.mudah.my/apartment-d-inspire-nusa-bestari-bukit-indah-114271642.htm
2026-05-29T16:37:28.294372+00:00,johor,apartment,For Sale,Full loan d summit apartments setia tropika bandar dato onn kempas,385000.0,"RM 385,000",MYR,3,2,,958,Tampoi,Johor,About Taman Desa Kempas,,,,https://www.mudah.my/full-loan-d-summit-apartments-setia-tropika-bandar-dato-onn-kempas-114881926.htm
2026-05-29T16:33:09.213210+00:00,johor,apartment,For Sale,Pangsapuri Merak Kangkar pulai flat,138000.0,"RM 138,000",MYR,2,1,,505,Johor Bahru,Johor,"Jalan Pulai Harmoni 1, Bandar Baru Kangkar Pulai, 81110 Johor Bahru, Johor",,,,https://www.mudah.my/pangsapuri-merak-kangkar-pulai-flat-114881073.htm
2026-05-29T16:33:08.028198+00:00,johor,apartment,For Sale,"Sky View Apartment @ Bukit Indah, Near Bus Stop, 2 carparks, Renovated",480000.0,"RM 480,000",MYR,2,2,,871,Iskandar Puteri,Johor,"Jalan Indah 25/2, Taman Bukit Indah 2 , 81200 Iskandar Puteri, Johor",,,,https://www.mudah.my/sky-view-apartment-bukit-indah-near-bus-stop-2-carparks-renovated-114881571.htm
